Date,Type Ia,Type Ib,Type II,Type Apple,Type Bump,Type Rain,Type Featureless,Nonevent,Undefined
25-Feb-2005,0,1,0,0,0,0,0,0,0
26-Feb-2005,0,0,0,0,0,0,0,0,1
27-Feb-2005,0,0,1,0,0,0,0,0,0
28-Feb-2005,0,1,0,0,0,0,0,0,0
01-Mar-2005,0,1,0,0,0,0,0,0,0
02-Mar-2005,0,1,0,0,0,0,0,0,0
03-Mar-2005,0,1,0,0,0,0,0,0,0
04-Mar-2005,0,0,0,0,0,0,0,0,1
05-Mar-2005,0,0,0,0,0,0,0,0,1
06-Mar-2005,0,0,0,0,0,0,0,0,1
07-Mar-2005,0,0,0,0,0,0,0,1,0
08-Mar-2005,0,0,1,0,0,0,0,0,0
09-Mar-2005,1,0,0,0,0,0,0,0,0
10-Mar-2005,0,0,1,0,0,0,0,0,0
11-Mar-2005,0,1,0,0,0,0,0,0,0
12-Mar-2005,0,1,0,0,0,0,0,0,0
13-Mar-2005,0,0,0,0,0,0,0,0,1
14-Mar-2005,0,0,0,0,0,0,0,0,1
15-Mar-2005,0,0,0,0,0,0,0,0,1
16-Mar-2005,0,0,0,0,0,0,0,0,1
17-Mar-2005,0,0,0,0,0,0,0,1,0
18-Mar-2005,0,1,0,0,0,0,0,0,0
19-Mar-2005,0,1,0,0,0,0,0,0,0
20-Mar-2005,0,1,0,0,0,0,0,0,0
21-Mar-2005,1,0,0,0,0,0,0,0,0
22-Mar-2005,0,1,0,0,0,0,0,0,0
23-Mar-2005,0,0,1,0,0,0,0,0,0
24-Mar-2005,0,0,0,0,0,0,0,0,1
25-Mar-2005,0,0,1,0,0,0,0,0,0
26-Mar-2005,0,1,0,0,0,0,0,0,0
27-Mar-2005,0,1,0,0,0,0,0,0,0
28-Mar-2005,0,1,0,0,0,0,0,0,0
29-Mar-2005,0,1,0,0,0,0,0,0,0
30-Mar-2005,0,0,0,0,0,0,0,0,1
31-Mar-2005,0,1,0,0,0,0,0,0,0
01-Apr-2005,0,1,0,0,0,0,0,0,0
02-Apr-2005,0,0,0,0,0,0,0,0,1
03-Apr-2005,1,0,0,0,0,0,0,0,0
04-Apr-2005,0,1,0,0,0,0,0,0,0
05-Apr-2005,0,1,0,0,0,0,0,0,0
06-Apr-2005,0,1,0,0,0,0,0,0,0
07-Apr-2005,0,0,0,0,0,0,0,1,0
08-Apr-2005,0,0,0,0,0,0,0,0,1
09-Apr-2005,0,0,0,0,0,0,0,0,1
10-Apr-2005,0,0,0,0,0,0,0,0,1
11-Apr-2005,0,0,0,0,0,0,0,0,1
12-Apr-2005,0,1,0,0,0,0,0,0,0
13-Apr-2005,0,1,0,0,0,0,0,0,0
14-Apr-2005,0,0,1,0,0,0,0,0,0
15-Apr-2005,0,0,0,0,0,0,0,1,0
16-Apr-2005,0,0,1,0,0,0,0,0,0
17-Apr-2005,0,0,1,0,0,0,0,0,0
18-Apr-2005,0,0,1,0,0,0,0,0,0
19-Apr-2005,0,0,0,0,0,0,0,0,1
20-Apr-2005,0,0,0,0,0,0,0,0,1
21-Apr-2005,0,0,0,0,0,0,0,1,0
22-Apr-2005,0,0,0,0,0,0,0,1,0
23-Apr-2005,0,0,0,0,0,0,0,0,1
24-Apr-2005,0,0,1,0,0,0,0,0,0
25-Apr-2005,0,0,1,0,0,0,0,0,0
26-Apr-2005,0,0,1,0,0,0,0,0,0
27-Apr-2005,0,1,0,0,0,0,0,0,0
28-Apr-2005,0,0,0,0,0,0,0,1,0
29-Apr-2005,0,0,0,0,0,0,0,0,1
30-Apr-2005,0,1,0,0,0,0,0,0,0
01-May-2005,0,0,0,0,0,0,0,1,0
02-May-2005,0,1,0,0,0,0,0,0,0
03-May-2005,0,1,0,0,0,0,0,0,0
04-May-2005,0,0,0,0,0,0,0,1,0
05-May-2005,0,0,0,0,0,0,0,1,0
06-May-2005,0,0,0,0,0,0,0,1,0
07-May-2005,0,0,0,0,0,0,0,1,0
08-May-2005,0,0,1,0,0,0,0,0,0
09-May-2005,0,0,0,0,0,0,0,0,1
10-May-2005,0,0,0,0,0,0,0,0,1
11-May-2005,0,1,0,0,0,0,0,0,0
12-May-2005,0,1,0,0,0,0,0,0,0
13-May-2005,0,1,0,0,0,0,0,0,0
14-May-2005,0,0,1,0,0,0,0,0,0
15-May-2005,0,1,0,0,0,0,0,0,0
16-May-2005,0,1,0,0,0,0,0,0,0
17-May-2005,0,0,1,0,0,0,0,0,0
18-May-2005,0,0,0,0,0,0,0,0,1
19-May-2005,0,0,0,0,0,0,0,0,1
20-May-2005,0,0,1,0,0,0,0,0,0
21-May-2005,1,0,0,0,0,0,0,0,0
22-May-2005,0,1,0,0,0,0,0,0,0
23-May-2005,0,0,0,0,0,0,0,0,1
24-May-2005,0,0,0,0,0,0,0,0,1
25-May-2005,0,0,0,0,0,0,0,0,1
26-May-2005,0,0,0,0,0,0,0,0,1
27-May-2005,0,0,0,0,0,0,0,0,1
